"name","host_name","neighbourhood","floor","price","footage","avgreview","Deal"
"Beautiful one bedroom apartment center of Astoria","Barbara","Astoria",5,166.0379143,299,3.45,"Neutral"
"Sunny penthouse studio in Brooklyn","Vanessa","Bushwick",1,199.0171999,402,3.85,"Neutral"
"3 Bedroom Duplex/ 2 Baths and 2 LR","Brendan","Bushwick",1,194.4047151,209,3.25,"Neutral"
"Yankee Haven","Leah","Harlem",1,262.2148876,308,3.39,"Good"
"WHOLE APARTMENT, 15 MINUTES TO MANHATTAN","Ero","Ditmars Steinway",20,247.9210609,322,2.79,"Bad"
"AWESOME CHARMING ROOM C WITH ROOF DECK ACCESS :)","Katie Graham","Clinton Hill",1,96.0313487,202,4.1,"Neutral"
"Luxury 2 BR Home in Hudson Yards","Christy","Chelsea",1,287.1178969,600,2.4,"Neutral"
"Chill, Cozy, Apt Next to Subway in LES/Chinatown","Sydney","Lower East Side",16,262.7588523,615,4.02,"Good"
"East Village Gem","Sarah","East Village",16,264.96028,232,4.12,"Neutral"
"Beautiful room with bathroom","Claudina","Bedford-Stuyvesant",1,198.51597,311,2.94,"Neutral"
"Madison Avenue Studio Suite (3)","CRNY Monthly Rentals","Midtown",1,289.239109,628,3.65,"Neutral"
"Beautiful, high-ceiling Gramercy one-bedroom","Mary Catherine","Gramercy",1,288.6091878,408,1.86,"Bad"
"Spacious Midtown 1BR Apt - 4.5 Stars/21 Reviews","Buke","Midtown",16,531.9603609,516,3.12,"Neutral"
"STUDIO ON WEST 56TH COLUMBUS CIRCLE~DOORMAN","Ruchi","Hell's Kitchen",16,531.1579566,329,2.65,"Bad"
"Ready!","Martha","Astoria",5,85.4236577,253,3.98,"Neutral"
"Rad East Village 1BR w/ Gym, Doorman + Roof deck by Blueground","Blueground","East Village",16,535.2429239,353,3.4,"Bad"
"BEAUTIFUL, LARGE, BRIGHT 2 Bedroom","Brandon","Long Island City",5,87.63547139,311,2.85,"Neutral"
"East Village sanctuary.","Shane","East Village",1,287.5044151,469,3.86,"Neutral"
"Large 1 Bdrm for 5; close to Roberta's / Morgan L","Peter","Bushwick",1,270.0435473,361,2.41,"Bad"
"Conveniently located room near Times Sq. 43D1","John","Hell's Kitchen",16,263.6013217,369,4.26,"Neutral"
"Amazing Private room near Central Park","Sergii","Harlem",1,131.4307842,330,4.39,"Good"
"Great room in a spacious Inwood Apartment","Max","Inwood",1,124.8152076,280,4.56,"Good"
"Location AND Space in the city!!","Ms","Gramercy",1,288.6091878,182,3.4,"Bad"
"1400 sq ft modern full floor loft","Alexander","Flatiron District",1,288.8169454,205,3.16,"Bad"
"Spacious Private Apartment near JFK!!","Jay","East New York",1,260.5257907,404,3.81,"Neutral"
"Amazing Studio step away from time square /71B","Irina","Hell's Kitchen",1,283.0228928,229,3.83,"Good"
"One Room in Murray Hill / Midtown","Sarah","Murray Hill",1,149.4136981,284,3.02,"Bad"
"Cozy 3 BD in the East Village","Will & Tash","East Village",1,146.8971043,374,3.3,"Neutral"
"Bright and Sunny Brooklyn Sanctuary","Timothy","Bushwick",16,518.3457677,379,4.23,"Good"
"Sunny room in Brooklyn","Nathalie","Crown Heights",1,91.3457044,413,3.15,"Good"
"Hamilton Beach House","Victor","Howard Beach",5,155.8482265,518,2.54,"Neutral"
"One of a kind, entire Brooklyn apartment","Tor","Flatbush",1,191.6254171,456,2.12,"Neutral"
"Modern Luxury Private Room Steps from subway","Sahar","East Harlem",1,130.2609805,231,4.19,"Neutral"
"Luxury Metropolitan Suite","Hosteeva","Midtown",16,531.445251,336,3.08,"Bad"
"Beautiful Brooklyn Brownstone","Megan","Bedford-Stuyvesant",16,517.933471,474,4.92,"Neutral"
"Cozy Apartment in a Private House","George","Jackson Heights",5,162.2020877,262,4.2,"Neutral"
"Beautiful apt in Nolita - your perfect stay","Milena","Lower East Side",16,264.5706145,567,2.66,"Neutral"
"Meyers inn","Chris","Hell's Kitchen",16,532.035265,668,4.72,"Neutral"
"Warm, cozy, private entrance with 2 Full bathrooms","Ms. Debra","Jamaica",5,154.4252038,355,2.11,"Bad"
"Big & Bright Bed-Stuy Bushwick Border Boudoir","Lilly","Bedford-Stuyvesant",1,131.7287755,244,2.7,"Neutral"
"Awesome Huge Studio - NYC Center","Pavel","Chelsea",16,533.939211,409,2.07,"Bad"
"Beautiful&Clean 1 KING BDR apt in Chelsea LONGTERM","Emma","Chelsea",1,287.7006475,380,4.52,"Neutral"
"Large Manhattan Apartment: Ideal Location - Inwood","Andom","Inwood",1,258.7508402,290,3.7,"Neutral"
"Clinton Hill Private Room","Nikki","Bedford-Stuyvesant",1,93.53007145,521,2.14,"Good"
"Heart of Bushwick! Women only","Clarissa","Bushwick",1,92.42366558,202,3.46,"Neutral"
"AMAZING bedroom in the Heart of NYC","Theodore","Hell's Kitchen",1,142.5498183,355,2.79,"Neutral"
"Private Clean Spacious Sunny E Village Studio Apt","Seth","East Village",16,536.1666603,649,2.2,"Bad"
"Industrial Modernism Flex 2br Loft!","Vida","Greenpoint",16,525.0739627,303,1.69,"Bad"
"Gorgeous big private room/Brooklyn","Camila","Crown Heights",1,92.04736238,232,3.84,"Neutral"
"Your own room in Manhattan!","Amalia","Harlem",16,247.5510052,192,3.5,"Bad"
"AWESOME 2 BEDS - QUEEN + SOFA - NEXT TO METRO","Emily Wes","Bedford-Stuyvesant",1,95.04609276,555,2.7,"Good"
"Lovely 2 bed/2 bath 15 min. from TIMES SQUARE","Brendan","Harlem",16,512.4057946,332,1.83,"Bad"
"Cozy Apartment- Lower East Side near F/M/J/Z  :)","Justin","Lower East Side",16,263.3151496,235,2.77,"Bad"
"Cozy room in Harlem","Tk","Harlem",1,128.4807423,342,2.26,"Neutral"
"Spectacular apartment in Astoria near everywhere","Jose","Ditmars Steinway",5,83.29648089,306,2.67,"Neutral"
"Architects' Home in Brooklyn!","Jen","Crown Heights",1,197.2192324,279,4.07,"Neutral"
"Quiet place w/ private bathroom","Marine","Crown Heights",1,89.20335073,163,1.68,"Bad"
"Close to transportation sleep share","Anchor","Bedford-Stuyvesant",1,60.39951335,336,3.87,"Good"
"Beautiful in Brooklyn - Perfect for Groups!","Steven","Bushwick",1,195.1436882,382,4.97,"Neutral"
"Two bedroom apartment in Brooklyn/Bed Stuy","Hp","Bedford-Stuyvesant",1,193.4485125,235,3.41,"Neutral"
"Little Slice of Brooklyn!","Nikki","Flatbush",1,87.73100615,236,2.69,"Neutral"
"A Fantastic Master Bedroom Suite in a 3BD apt","Ed","Bedford-Stuyvesant",1,133.8298284,237,3.17,"Neutral"
"Private Queen room&bathroom in NEW Luxury Building","Albert","Gravesend",1,84.77276581,504,3.7,"Good"
"Location is Everything. And Quiet Too!","Niko","Hell's Kitchen",16,261.2694311,562,2.52,"Neutral"
"Comfy spacious Astoria aptmt 15m from Manhattan","Jwanah","Astoria",5,86.15094472,345,2.23,"Neutral"
"Basement Studio Apt in a quiet area close to all","Ella","Forest Hills",5,158.9458937,392,2.67,"Neutral"
"Reno Studio Gramercy~Sleeps3!","Host","Gramercy",16,537.540718,593,4.11,"Neutral"
"Modern, Light-Filled Apt in Chelsea/Meatpacking","Clay","Chelsea",16,535.5152551,245,3.1,"Bad"
"Elegant Guest Room A","Carol","East New York",1,86.57262086,372,2.5,"Good"
"Private room in Bushwick Brooklyn","Kaz","Bushwick",1,92.96913691,248,2.93,"Neutral"
"Room at Home in Lower East Side","Andrea","Lower East Side",1,146.609558,523,2.46,"Neutral"
"Full apartment","Nany","East Harlem",16,520.2173485,354,3.37,"Good"
"Cosy room in Brooklyn","Marie","Bushwick",1,92.90429817,237,3.55,"Neutral"
"BRIGHT, SPACIOUS, QUIET Luxury Oasis, DowntownNYC!","Dr.","East Village",1,286.833094,450,4.65,"Neutral"
"Bedroom","Vicky","Flushing",5,78.61177058,380,3,"Neutral"
"Room next to Columbia University","Juan Luis","Morningside Heights",16,515.5430645,678,2.66,"Neutral"
"Modern studio apt with full kitchen and bath","Rachael","Harlem",16,245.3456976,233,4.26,"Neutral"
"CoZy RooM & Private Bathroom BK:) SUPERHOST :)","Jasmin","Bushwick",1,93.46074999,232,2.3,"Bad"
"Harmony House 2 on Madison Street","Garnet","Bedford-Stuyvesant",16,516.0015825,324,2.63,"Bad"
"Heavenly Harlem Haven","Carlton","Harlem",1,129.8793478,316,2.35,"Neutral"
"Amazing Room! Awesome Price!
Can’t wait to meet U!","Davica","Cypress Hills",1,86.28100637,153,3.22,"Neutral"
"Charming, light-filled 1-bedroom","David","Fort Hamilton",16,243.1538592,537,2.93,"Neutral"
"Big Bed brooklyn, convenient close trains","Penelope","Bedford-Stuyvesant",1,94.33176774,216,2.51,"Neutral"
"Sonder | 180 Water | Grand 1BR + Rooftop","Sonder","Financial District",16,532.110505,391,3.83,"Bad"
"Brooklyn’s finest pt. Deux","Xie","Canarsie",1,85.08526353,533,3.43,"Good"
"Large 1BR in Bay Ridge, Brooklyn","James","Fort Hamilton",1,189.4304315,603,4.85,"Good"
"Large Sunny Studio in East Village","Miles","East Village",1,285.3836873,509,2.1,"Neutral"
"Budget-WELCOME ALL ""Couch"" walk to CITIFIELD & LGA","Veronica","Corona",5,80.18091631,331,3.84,"Good"
"Clean and Cozy BedStuy Apt","Serik","Bedford-Stuyvesant",1,197.7073897,446,2.57,"Neutral"
"Prospect Heights, Brooklyn Loft with views","Katherine","Crown Heights",1,198.4617729,366,3.26,"Neutral"
"Bright, Spacious 3BR/2BA in East Village, groups","Jackson","East Village",16,535.1530347,692,2.29,"Neutral"
"Speakeasy Vibes Above a Bar in Popular Bushwick","Mick","Bushwick",1,197.9610526,525,2.23,"Neutral"
"✴ Brand New & Quiet ✴ East Village ✴ 2BR Apt","Gabby","East Village",1,286.6455928,179,2.27,"Good"
"Room close to La Guardia Airport","Gladys","East Elmhurst",5,161.017053,638,3,"Neutral"
"Bright & Spacious Apartment. A Williamsburg Gem.","Yoav","Greenpoint",1,207.5673108,567,3.83,"Good"
"Three Bedroom Apartment Steps from Union Square","Chris","East Village",1,287.407048,377,3.95,"Neutral"
"NEW Lofty 1bedroom UpperEast Side","Anthony","Midtown",16,530.9457505,369,3.05,"Bad"
"Spacious One Bedroom in Downtown Manhattan","Ileang","Chinatown",1,285.646876,255,3.35,"Neutral"
"Traditional and cozy private room in best location","Andres","Hell's Kitchen",16,263.8195886,239,2.64,"Neutral"
"Central Manhattan Apt","Peter","Kips Bay",16,266.7097435,205,3.37,"Bad"
"Chic room, excellent location!","Patricia","Harlem",16,244.9687699,247,2.7,"Bad"
"☆ 2 Bedroom Apartment - Minutes from Times Square!","Louis","Hell's Kitchen",16,535.0635839,172,3.02,"Bad"
"Spacious, Peaceful Room","Brooke","Elmhurst",5,192.9189844,220,3.78,"Bad"
"King size luxury studio minutes to Manhattan","Dean","Long Island City",5,173.0922392,622,1.66,"Neutral"
"2 bedroom Apartment.","Ife","Edgemere",5,153.1830337,416,2.12,"Neutral"
"Beautiful One Bedroom","Shonelle","Flatbush",1,191.1480575,569,4.8,"Good"
"Luxury Central Park Views Iconic building","Wolf","Midtown",18,530.7362826,175,3.22,"Bad"
"90 Washington St. 1 BR furnished","Raymond","Financial District",1,281.7066415,208,3.48,"Bad"
"Gorgeous Room with Private Bathroom in Manhattan","Julia","Financial District",16,260.9055424,359,3.71,"Neutral"
"Private Bedroom In Refurbished Apt!","Ryan","Bushwick",1,198.3810207,345,3.27,"Neutral"
"Are You Ready for Central Park State of Mind?","Park Lane","Midtown",16,261.3310226,394,2.87,"Good"
"luxury apt in long lsland city 
1min to subway","Lyn","Long Island City",5,89.97739176,310,2.2,"Neutral"
"Spacious and sunny room in Brooklyn","Elena","Bay Ridge",1,86.83922194,227,4,"Good"
"5 Mins Walk to Columbia University","Tiara","Morningside Heights",16,248.1560485,181,2.38,"Bad"
"1 BR available in lovely LES unit","Ben","Lower East Side",16,263.9668701,164,2.97,"Bad"
"Beautiful private bedroom in Brooklyn","Brandon","Bedford-Stuyvesant",1,93.32378645,179,2.99,"Neutral"
"Sunny, zen spot in the Heart of East Village","Natalie","East Village",16,535.7916509,252,1.53,"Bad"
"Bright, contemporary Kips Bay Studio apt","Alper Demis","Kips Bay",1,288.9216487,265,2.05,"Bad"
"Spacious Bklyn Apt Near Manhattan","Aaron","Cobble Hill",1,97.61496356,356,3.54,"Good"
"Beautiful apartment in Manhattan!","Polina","East Village",16,535.978218,165,3.99,"Bad"
"Spacious East Village Zen Den","Kim","East Village",1,286.5525419,393,3.38,"Neutral"
"Newly Renovated/Private Apt/1-br by Park and Metro","Jonah_Soleil","Crown Heights",1,194.8291949,195,4.38,"Neutral"
"Private Bedroom with Amazing Rooftop View","Trey","Bushwick",1,92.6499695,577,2.93,"Good"
"Private small room in 3 bdr apt - East Village","Alexandre","East Village",16,264.8815656,374,1.53,"Good"
"Huge Room in First Floor Brownstone","Daniel","Crown Heights",1,195.8919475,195,3.09,"Bad"
"Loft in Bushwick","Lancelot","Bushwick",1,92.60834612,220,3,"Neutral"
"Beautiful Apartment near Prospect Park","Laura","Flatbush",1,193.3425597,573,3.23,"Neutral"
"Coziness from a westelm catalog","Sade","Harlem",16,247.4421337,328,2.97,"Neutral"
"One bedroom unit in Lower East side.","Michael","Lower East Side",1,285.7354594,320,3.63,"Neutral"
"Perch Harlem","Scott","Harlem",16,511.6361128,395,2.18,"Good"
"1 bedroom near Wall Street","Josie","Financial District",16,260.0362956,342,3.66,"Neutral"
"1 BR in historical Brownstone with terrace/garden","Stephen","Harlem",1,129.1040386,419,3.83,"Good"
"Private 1 Bedroom in the Heart of Queens","Nathalia","Forest Hills",5,78.95152813,376,4.11,"Good"
"Designer's gem on Ludlow Street","Tia","Lower East Side",1,286.5525419,381,3.64,"Neutral"
"SPACIOUS, HIGH CELING, MODERN ROOM IN BROOKLYN","Rauf","Flatbush",1,87.99963872,345,3.91,"Good"
"MODERN LOFT STUDIO IN CENTRE MANHATTAN (SLEEP 4)!","Marco","Murray Hill",16,536.9397565,358,3.7,"Bad"
"Chez Jesse Vacation Spot - Manhattan Loft","Jesse","East Harlem",16,246.8794708,415,3.16,"Neutral"
"SO CHILL!! Very spacious and cozy bk apartment !!","Jim","Bushwick",1,196.9149053,187,2.59,"Bad"
"Cool Private Room in Dreamy Bedstuy Apartment","Keithan","Bedford-Stuyvesant",16,517.0655786,172,4.67,"Bad"
"Posh Upper West 2 BR w/ Doorman","Tara","Morningside Heights",1,267.0327033,531,4.24,"Neutral"
"conveniently located to highway !","Floriane","Canarsie",1,188.3475848,579,2.02,"Neutral"
"Cozy Master bedroom/private bath.","Roland","Jamaica",5,76.72277298,434,2,"Neutral"
"Elegant Ft. Greene One-Bedroom, 5 min from Subway","R.","Fort Greene",1,200.7490694,231,2.44,"Bad"
"Queen size bedroom","Nour","Harlem",16,246.979668,358,2.07,"Neutral"
"Private One Bedroom","Pedro","Morningside Heights",16,247.7095302,219,3.43,"Neutral"
"Private, cozy, Bedroom","Ling","Dyker Heights",1,86.95160371,311,3.26,"Good"
"Lovely Brooklyn Garden Apt","Joy & Jesse","Bedford-Stuyvesant",1,199.6950661,340,3.73,"Neutral"
"Fabulous  brand new 1BR across park in Manhattan","Scott","East Harlem",1,267.3989153,548,2.98,"Neutral"
"2 bedrooms available• private garden • 2/5  train","Jenni & Eric","East Flatbush",1,88.58907355,368,2.56,"Good"
"A cozy quiet 1-bedroom with a balcony in Astoria","Igor","Astoria",5,167.5985177,476,4.44,"Good"
"Private Bedroom/Bath in Luxury Greenpoint Condo","Katie","Greenpoint",1,103.7926751,228,3.45,"Neutral"
"Prime Village NOHO, renovated designed2BR~W/D unit","Host","East Village",16,537.1380119,205,2.56,"Bad"
"Hillside Hotel","Hillside Hotel","Briarwood",5,78.10360961,376,3.02,"Good"
"Very Sunny, Couple/Family-friendly","Yoon","Flushing",5,155.6613647,434,3.23,"Neutral"
"Large private bedroom+bathroom Central Park North","Jochen","Harlem",16,249.0235418,408,2.71,"Neutral"
"1 BR with private bath new building","Shay","Harlem",16,246.4531416,418,2.86,"Neutral"
"Lovely 1st floor studio","Isa","Astoria",5,168.2669799,365,2.46,"Good"
"Big 2BR with large living area","Dmitriy","Harlem",16,514.3680486,243,1.69,"Neutral"
"Carroll Gardens entire apartment","Barbara","Carroll Gardens",1,94.80170924,486,3.25,"Good"
"Huge sunny 2bed apt in Harlem. Skyline views!","Aura Xenia","East Harlem",1,264.1793481,181,3.14,"Bad"
"Quiet&Comfy Private Room near F/G train","Qingming","Kensington",1,88.10641253,587,4.44,"Good"
"East village apartment","Thomas","East Village",1,148.9102985,208,2.8,"Neutral"
"Charming 1BR Private GARDEN Apt!","Michael","Boerum Hill",1,202.0617219,344,3.97,"Neutral"
"Beautiful room!!! Wonderful view!!!","Kate","Kips Bay",16,265.2791331,261,2.41,"Bad"
"Best of Brooklyn","Sasha","Crown Heights",1,195.4118272,431,3.67,"Neutral"
"So nice and close to everything.","Jose","Hell's Kitchen",1,285.4709931,200,3.96,"Bad"
"Cozy bedroom in the heart of Greenpoint","Justyna","Greenpoint",1,100.9619382,367,2.84,"Good"
"Quiet & Cozy East Village Studio with Work Space!","Ezzy","Lower East Side",1,285.5587216,285,3.8,"Neutral"
"The Artist's Experience","Jeffrey","Hell's Kitchen",16,261.1470638,288,4.49,"Neutral"
"Comfort and Safe Stay IN Brooklyn 25mins to D/Town","Bunmi","Borough Park",1,88.09564601,290,4.22,"Good"
"Brooklyn Apartment","Cathy","East Flatbush",1,191.7084546,786,4.04,"Good"
"Fantastic Modern Co-Living Space 4L-3","Zach","Fort Greene",16,524.6106222,286,3.4,"Bad"
"Chabla Residence. The perfect stay, when away","Edwin","Jackson Heights",5,160.7617243,367,2.13,"Bad"
"Huge, super-clean and elegant!","Natalia","Harlem",1,263.403415,307,2.55,"Neutral"
"BunkBeds 5 min to NYC 900Mb Full Closet","Patricio","Astoria",5,84.98996874,366,4.78,"Good"
"Brooklyn Small but cozy bedroom C close to Subways","Nubia","Bushwick",1,89.60282406,572,3.4,"Good"
"Cozy one bedroom in the city!!","Cindy","East Village",1,147.0429662,235,2.83,"Neutral"
"luxury apartment near wall street","Ellen","Financial District",16,529.0904629,537,4.33,"Neutral"
"Huge Brooklyn Studio","Katrina","Bedford-Stuyvesant",1,197.1481219,512,2.63,"Neutral"
"Bushwick Chef's house","Heejun","Bushwick",1,90.48220161,387,2.39,"Good"
"private bedroom in the center of NYC action 21B4","John","Hell's Kitchen",16,264.4174423,562,2.32,"Neutral"
"Chic & Modern Townhouse Apartment","Georgia","Greenwich Village",1,288.0992127,266,4.05,"Neutral"
"Comfy Room Close the Subway ABCD&1!","L & A","Harlem",16,246.1413616,259,3.11,"Neutral"
"Charming Bushwick Brownstone.","Elicia","Bushwick",1,194.9757134,282,2.4,"Neutral"
"Perfect place for tourist, near subway, restaurant","Ayodeji","Harlem",1,128.8655973,183,3.97,"Neutral"
"IN MINT CONDITION-STUDIOS EAST 44TH/UNITED NATIONS","Rated","Midtown",16,535.4240309,187,2.32,"Bad"
"Private room with visit to queens # 6","Sonia","Glendale",5,88.88860217,163,3.28,"Neutral"
"Tulsi's Private Cozy Studio","Shivaul","Cypress Hills",1,190.612557,202,2.11,"Bad"
"Sonder | 116 John | Relaxed 1BR + Gym","Sonder (NYC)","Financial District",16,532.110505,278,2.75,"Bad"
"Large 2 bed cozy room in queens","Kevin","Elmhurst",5,81.38709459,305,3.83,"Good"
"PRIVATE ROOM NEW YORK","Sue","Crown Heights",1,194.8473685,344,3.95,"Neutral"
"Brooklyn private room&balcony","Luna Maria","Bedford-Stuyvesant",1,94.40840815,329,2.01,"Neutral"
"Sunny 2 BR apartment in E Village","John","East Village",16,535.978218,249,2.84,"Bad"
"Near the city","Marjorie","Cambria Heights",5,76.43317014,175,2.55,"Neutral"
"Private 2 Bdrm in Heart of BedStuy (HUGE BACKYARD)","Sarah","Bedford-Stuyvesant",1,269.5368086,358,2.99,"Neutral"
"Super Lux 2BR in Downtown Manhattan","Derek","Battery Park City",16,529.7934581,511,2.95,"Bad"
"Cozy Bedroom in Apartment Uptown","Shamroz","Harlem",16,248.5592472,180,3.35,"Bad"
"New, Lovely Studio in Long Island City","Jerry","Long Island City",5,174.4228353,236,3.18,"Bad"
"Be happy in New York","Ines","Jackson Heights",5,82.18998419,332,2.41,"Neutral"
"Master bedroom in luxury apartment w. rooftop/gym","Laure-Ellyn","Bushwick",1,92.36304286,332,4.67,"Good"
"Private 2 BR APT: Free WIFI & JACUZZI","R","Bedford-Stuyvesant",1,195.9953892,217,2.4,"Bad"
"Living Room Space In NYC","Wendell","Harlem",1,98.03505435,233,2.88,"Neutral"
"West Village/Greenwich Village Room With A View","Deedee","Greenwich Village",1,148.5832382,532,2.79,"Good"
"Landmark Brooklyn Brownstone 35 min from Midtown","Eric","Crown Heights",1,195.4508324,457,3.1,"Neutral"
"Charming Home in Brooklyn Townhouse","Eva Maria","Bedford-Stuyvesant",1,193.4790599,482,2.41,"Neutral"
"Cozy bedroom in Long Island city.","Aendel","Long Island City",5,87.96991095,313,3.26,"Neutral"
"Beautiful apt with prime LES location","Caroline","Lower East Side",1,285.9139256,239,3.66,"Neutral"
"1 Bed Just off the J","Steve","Bushwick",1,91.85636405,393,2.77,"Good"
"Spacious Well Kept Apartment 5 min to Midtown","Finley","Long Island City",5,98.16387686,524,2.39,"Good"
"Cozy apartment near Central Park","Klara","East Harlem",1,269.9287642,322,1.94,"Bad"
"Greenpoint Sun Garden","Cassi","Greenpoint",1,102.0624709,419,3.97,"Good"
"Furnished one bedroom beauty in midtown NYC","Stanley","Murray Hill",16,537.0386294,252,3.5,"Bad"
"The Golden Hand in Harlem ☞ Bright + Modern 1BR","Matt","Harlem",16,246.6559702,278,3.45,"Neutral"
"Stylish and Modern basement near LaGuardia Airport","Jonathan","East Elmhurst",5,161.7564549,245,2.16,"Bad"
"Chelsea Charm: shared apartment","Essam","Chelsea",16,264.8032448,779,3.41,"Good"
"Spacious Brooklyn, New York Retreat","J","Fort Hamilton",1,189.1500555,252,2.03,"Bad"
"Two amazing bedrooms in the heart of East Village","Leonora","East Village",1,148.1836576,485,4.14,"Good"
"Lovely studio","Iquane","Bedford-Stuyvesant",1,195.9538667,491,4.53,"Good"
"Apartment share - Private Bedroom","Robert","Carroll Gardens",1,93.90956945,176,3.53,"Good"
"Huge, sunny private room - 1 block from train","Marissa","Bensonhurst",16,242.2519226,323,3.71,"Bad"
"Private bedroom in a doorman building in NYC","Ariel","Hell's Kitchen",1,143.7162776,401,3.47,"Good"
"Garden Spot in Bushwick","Bradley","Bushwick",1,196.9842611,190,3.17,"Bad"
"Newly Renovated One Bedroom","Brian","Little Italy",1,286.1849218,473,2.61,"Neutral"
"Bright Apt Super Stylish Best Location","Corporate Housing","Hell's Kitchen",16,532.2620018,341,4.57,"Neutral"
"**Summer in SugarHill Manhattan is VERY Sweet**","Abel","Harlem",16,512.2019143,328,2.19,"Bad"
"1BR Apartment- Fantastic Location!","Lauren","East Village",1,288.0992127,261,1.72,"Bad"
"Contemporary 1BR in Midtown East by Sonder","Sonder","Murray Hill",1,287.5044151,608,2.98,"Bad"
"Invincible river view Central Park North","Co","Harlem",1,129.3394365,196,3.87,"Neutral"
"Clean 2BR Park Slope Apt w/ Private Outdoor Space","Derek","Gowanus",1,268.4206947,335,3.92,"Neutral"
"One Bedroom Apartment","Alwin","Jackson Heights",5,161.3362868,166,3.51,"Bad"
"Seaux Blu Urban Boho Studio","Myah","Bedford-Stuyvesant",1,196.5093629,342,3.5,"Good"
"Cozy apartment near Central Park!","Alex","East Harlem",16,517.228218,618,3.77,"Neutral"
"LOVE Best City Views: Luxury & Location 2BD/2BT","Monika","Midtown",16,535.6990617,301,3.1,"Bad"
