id,name,host_name,neighbourhood,floor,price,footage,avgreview
94,Retro room in Astoria - 15m to Manhattan,Michelle,Astoria,5,86.40374395,269,3.27
95,"❤️ Private Studio+Bath+Balcony, 15 mins to City",Mia,Bushwick,1,92.00878356,411,4.3
96,Brooklyn Summer Haven- Private Room!,Ruby,Bedford-Stuyvesant,1,90.37357262,536,3.95
97,"Large, New, Modern Uptown Room - 2",Anthony,Harlem,16,245.4807257,358,2.87
98,Comfortable room steps from Central Park,Lucie,Harlem,16,249.11987,379,3.06
99,Huge Bright Room in Williamsburg,Luca,Williamsburg,1,203.7944378,218,2.9
100,Big and Bright Apartment with Balcony,Sebastian,East Harlem,16,514.0061684,295,3.05
101,Chic one Bedroom apartment NYC,Oscar,Ridgewood,5,265.9057757,398,4.29
102,Cozy 2Bed in the Heart of East Village!,Grace,East Village,16,534.9745684,484,4.56
103,Room in classic Harlem brownstone,Kirsti,Harlem,16,247.6298214,598,2.96
104,Entire Basement w/ Warm+Friendly+Brooklyn  Energy!,Eli,Cypress Hills,1,191.9515229,391,3.86
105,Iconic NY loft apt in West village,Zoe,West Village,1,286.5525419,372,4.43
106,Private Bedroom in Brownstone Near Subway,Brady,Bedford-Stuyvesant,1,91.87525245,405,3.66
107,Bask in the light! Studio bedroom in Williamsburg,Derek,Williamsburg,16,526.8336056,227,2.35
108,"Discount! Mins to SOHO -Queen bed, spacious",Kandee,Lower East Side,16,264.115592,195,2.96
109,~ cosy DWELLING for NYC MIDTOWN explorers ~,Andrew,Hell's Kitchen,1,144.2491499,217,3.55
110,NYC LUXURY STUDIO,Erika,Hell's Kitchen,1,283.1757606,205,2.99
111,Huge Bedroom with Private Entrance and Yard Access,Bobby,Williamsburg,1,95.87994366,352,3.11
112,Brooklyn Garden Apartment,Julio,Clinton Hill,1,199.5740036,579,1.64
113,"Super Bowl, 2 bdrm, UWS apartment ",Julie,Upper West Side,17,519.5456338,554,3.53
114,UNIQUE 1 BED ROOM in FLATIRON/NOMAD/GRAMERCY,Colette,Midtown,16,538.6926953,209,3.41
115,Cozy Private Bedroom 5mins to NYC,Nma,Long Island City,5,87.48572596,303,2.69
116,Heart of Bedford Stuyvesant.  Next to subway.   Full floor in brown stone.  Great neighborhood.   20 minutes to downtown Manhattan.   Best place ever.,Sam,Bedford-Stuyvesant,16,251.1341168,213,3.21
117,Sunny Suite in Historic Brooklyn,Samantha And Scott,Flatbush,1,262.226122,451,2.22
118,Welcome to my home,Ross,Greenwich Village,1,287.9987989,467,2.04
119,Newly-Renovated 2BR/1BTH Garden Apt,Kevin,Bushwick,1,267.4872842,299,2.23
120,"Large apt at Central Park, TimesSq",Alex,Hell's Kitchen,16,531.016179,163,2.59
121,"Clean, cozy, comfortable private room. Perfect Loc",Joy,Crown Heights,1,91.47015858,462,3.52
122,"Clean, Comfy and Central Midtown Haven!",Sasha,Midtown,1,286.0038149,758,2.73
123,"Shay's Place #1
( 1 Bdrm. Apt )
5 mins From JFK",Sheila,Springfield Gardens,5,154.1900299,357,3.65
124,CBG Helps Haiti Room#2.5,Lisel,Park Slope,16,251.3849138,392,3.03
125,"Cozy, Sunny, UWS Junior One Bedroom",Sami,Upper West Side,1,270.8841307,254,3.07
126,"Great shared room / Best price, high quality!",Sergey,Bushwick,16,247.4421337,289,2.82
127,Charming Bedstuy Brownstone,Kyle,Bedford-Stuyvesant,1,194.7929673,297,4.39
128,Cosy 1 bedroom apartment in Astoria,Kim,Astoria,5,166.9444717,518,3.14
129,Room available in Midtown West NYC,Ye,Midtown,16,531.1579566,304,4.83
130,"Gorgeous, spacious Brooklyn Studio",Ethan,Gowanus,1,199.6950661,342,3.44
131,The Library @ Guacamaya's Nest,Maya,Crown Heights,1,91.24066473,188,3.28
132,Room with a View,Nadine,Kips Bay,16,265.1189014,231,2.66
133,Luxury Studio style room in Manhattan Brownstone,Andrew,Harlem,1,130.6347155,446,1.67
134,Sun-drenched duplex apartment,Sabrina,Williamsburg,1,96.46814982,397,2.28
135,Spacious PRIVATE Room,Richard,Ridgewood,5,82.40075339,241,2.71
136,"West 55th street, Lux 1bd Serviced Apartment",Ken,Hell's Kitchen,1,279.5421393,685,3.39
137,Studio in the LES,Chris,Lower East Side,16,535.4240309,298,2.31
138,Harlem Gem,Valerie,East Harlem,16,514.4696893,205,2.02
139,Cozy 2 bedroom in Bedford Stuyvesant,Chao,Bedford-Stuyvesant,1,197.1717658,294,2.91
140,Split level Front walk-in Apartment,Rafael,East Elmhurst,5,80.72302899,215,1.89
141,Brooklyn Retreat,Winston,East Flatbush,1,191.6254171,511,2.99
142,Studio apartment in Cobble Hill,Elise,Carroll Gardens,1,202.0617219,253,3.42
143,"Large, Immaculate Brooklyn 2 BR apt, sleeps 4-5",Tanya,Bedford-Stuyvesant,1,198.0903906,316,3.06
144,"Brooklyn Charm, Close to Manhattan (30+ Days Only)",Joni,Bedford-Stuyvesant,16,518.1891247,179,2.79
145,A suite like room with a private bathroom.,Sam,Borough Park,1,88.62425001,212,2.59
146,Hip&Central! Charming Williamsburg!,Johnny,Williamsburg,1,208.1486183,178,2.01
147,Beautiful Unique Greenpoint Loft Suite,Henry Norman,Greenpoint,1,100.0405883,669,2.72
148,"Sunny, charming duplex in best Brooklyn 'hood",Georgia,Gowanus,1,200.1298703,207,3.42
149,"Great Apt,  Great Area",Linda,Upper West Side,1,132.7205,185,4.78
150,Bluebird Luxury 1 BR Apartment Near Times Square!,Bluebird,Hell's Kitchen,17,531.3009752,439,2.99
151,AFFORDABLE LUXURY...ENTIRE APARTMENT @ Its Best!,Festus Atu,Inwood,1,258.6376053,250,1.5
152,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,T,Lower East Side,16,534.885985,250,2.34
153,3 Bedroom Loft Like Triplex 2.5 Bath with Garden.,Rita,Harlem,16,515.0162555,298,3.66
154,"Sunny Fort Greene room with A/C, high ceilings",Adam,Fort Greene,1,97.54386974,419,3.59
155,Corona's Gem,Francisco,Jackson Heights,5,159.981607,216,3.91
156,"Airy, Open South Williamsburg Apartment",Sanja,Williamsburg,1,101.1063979,211,4.3
157,Cute and Cozy 1br one block from Central Park,Jemme,Upper East Side,16,529.5341187,357,3.43
158,Cozy NYC Downtown Room,Lana,Lower East Side,1,147.5647997,194,2.57
159,Comfortable Room in 3 bedroom Apt,Ariel,East Harlem,1,133.8999101,422,2.55
160,HUGE ROOM WITH PRIVATE KITCHEN- Manhattan -,Yifat,Murray Hill,1,149.5850214,239,2.83
161,Gorgeous Upper West Side Gem with sofa bed! ,Carla,Upper West Side,16,526.9412161,275,4.27
162,1 bedroom apt. in the heart of Upper West Side,Kirill,Upper West Side,1,270.9154096,487,4.46
163,Cozy room with queen bed in 4b,Pedro,Bedford-Stuyvesant,1,92.71280946,305,2.26
164,GREENWICH VILLAGE w fireworks July4thRooftopView!,G,East Village,16,537.1380119,193,4.44
165,Beautiful Apt. Above WTC Memorial,Christian,Financial District,1,282.1338459,288,2.97
166,Home 4 Medical Professionals-Kngbr1,Stat,East Flatbush,16,245.7722086,501,3.44
167,Grand Home On Kissena Park in Flushing NYC,Ann,Flushing,5,187.7025447,355,2.78
168,Serenity in the Gardens,Nicole And Joe,Carroll Gardens,1,94.20548113,197,2.26
169,West Village upscale apartment,Jon,West Village,16,536.646157,565,2.48
170,"Room in front of Prospect Park, 1 block to subway",Andres Mekos,Prospect-Lefferts Gardens,1,194.2511116,215,1.77
171,Spacious room near Bed- Stuy,Ruben,Bedford-Stuyvesant,1,94.28103753,362,2.89
172,Private Room in a Bushwick Retreat,Morgan,Bushwick,1,93.53007145,308,3.12
173,"Private Room, Bath & Entry, King Bed - NYC",Renu,Forest Hills,5,158.8895623,511,2.35
174,Stylish and cute girly shared room in Manhattan,Tanya,Upper East Side,1,105.3436954,710,2.06
175,Luxury designer duplex in Bed Stuy,Chris,Bedford-Stuyvesant,1,193.5251131,745,4.13
176,Cozy Room in heart of Crown Heights,Stephanie,Crown Heights,16,516.9967366,385,3.45
177,Charming 1BR in the East Village,Stephanie,East Village,1,287.7006475,255,2.66
178,Great Space in Williamsburg's Heart,Luca,Williamsburg,1,203.6653826,431,2.24
179,Cozy 2 Bed 1 Bath- Sutton place,Ash,Midtown,16,532.8818878,210,4.79
180,Classy Upper East Side Private Bedroom,Daniele,East Harlem,16,520.2173485,366,2.95
181,Modern 2-bedroom apartment near subway and parks,Negra,Astoria,5,167.4310073,416,4.32
182,Private Room with Queen-size Bed,Bryan,East Harlem,1,131.345387,196,3.81
183,Private room on Lovely block in Greenpoint,Dawn,Greenpoint,1,277.4345977,391,3.74
184,Amazing Area - Quick walk to Metro - Spacious!,Ashley At Bedly,East Harlem,16,250.3769326,278,3.37
185,Large Shared Studio (your own bed) - Luxury+Views!,Wayne,Upper West Side,16,197.639206,175,1.83
186,Newly Renovated Garden Apt in Brooklyn Brownstone!,Jamie,Clinton Hill,1,202.0993355,193,3.88
187,Double Bed Private Retreat,Lay,Bedford-Stuyvesant,1,92.83996798,583,3.34
188,The Heart of Fort Greene 2bedrooms,Tracey,Fort Greene,16,522.3635684,198,2.7
189,588A Brownstone Hospitality,Dara,Bedford-Stuyvesant,1,196.2059714,484,4.06
190,BUSHWICK (1 block from Jefferson L),Fagan,Bushwick,1,198.0643868,489,4.73
191,"Eclectic 1BR in Brooklyn, Steps to nightlife!",Meghan,Bushwick,1,92.48475343,618,2.79
192,Private Bedroom in Cozy Williamsburg Apartment!,Erin,Williamsburg,1,102.5961321,610,4.55
193,Clean Modern Apartment,Timothy,Crown Heights,1,197.0307866,612,3.15
194,Spacious studio with private garden in Brooklyn,Giorgia,Bedford-Stuyvesant,1,194.578899,277,4.06
195,Private bedroom apartment 5A#1,Veronique Camille,East Harlem,16,517.0655786,310,3.17
196,"Cozy room in bushwick, Brooklyn",Jose,Bushwick,1,89.96992628,421,2.55
197,SMALL STUDIO IN EXCELLENT GREENPOINT LOCATION!,Skylar,Greenpoint,1,208.5694802,371,2.17
198,Bright & Airy Private Room near L/JMZ trains,Leah,Bushwick,1,93.48379435,323,2.09
199,Luxury 1 Bedroom Apartment in Prime Brooklyn,Jamie,Bushwick,1,197.2908823,387,3.48
200,Great 4 Families Near Parade + Park,Marc,Upper West Side,2,276.8126384,472,3.95
201,Charming -One bedroom -Williamsburg,Schimpff,Williamsburg,1,101.0580555,258,2.27
202,Upper East Side - amazing location!,Kevin,Upper East Side,16,522.3255948,458,3.05
203,BEAUTIFUL AND SPACIOUS STUDIO CLOSE TO LGA AND JFK,Sonia,Corona,5,159.926109,317,2.16
204,Ideal SoHo 1BR,Steven,SoHo,16,535.978218,172,3.81
205,Charming and private room in W'burg,Phyl,Williamsburg,16,528.2992916,731,3.02
206,1 Bedroom Apt. in Nolita/Chinatown,Bobby,Little Italy,1,285.8244749,253,2.86
207,Upper East Side Little Private Room,Xin,East Harlem,16,251.7748191,155,2.39
208,"Cozy, Quite, Private, Near LGA",Di,Elmhurst,5,82.24463581,359,2.3
209,Modern Apartment in Brooklyn with deck and yard,Maruf,Kensington,1,192.4252891,630,2.85
210,"Private, renovated & furnished room",Melanie,Prospect-Lefferts Gardens,1,193.6806665,273,3.68
211,Beautiful 1 br Williamsburg apt,Jamaal,Williamsburg,16,528.478218,343,2.17
212,Modern Brick Exposed Brooklyn Apartment!,John,Crown Heights,1,196.8919012,348,2.77
213,Charming East Village One Bedroom,Yinhang,East Village,1,286.1849218,607,4.17
214,Gorgeous Duplex LOFT 1.5BATH 4BEDs - East Village,Clemiro,East Village,16,536.9397565,505,3.32
215,"Lovely, Clean & Spacious. Your Own Woodside Room!",Kazuya,Woodside,5,85.02505499,571,3.19
216,East Village Studio,Sheila,East Village,16,536.1666603,488,3.1
217,Large 2 Bedroom Apartment with Full Amenities,Itay,Murray Hill,1,287.5044151,215,2.1
218,BRIGHT ROOM CLOSE TO MIDTOWN MANHATTAN,Meela,Long Island City,5,87.12343862,299,4.23
219,ONE BR SUNNY APT-15 MIN FROM TIMESQ,Uros,Sunnyside,5,94.64233382,204,2.57
220,Brooklyn Apartment,Thomas,Greenpoint,1,204.0124762,329,3.61
221,Best Apartment Alphabet City Luxury & Comfort !!,Monica,East Village,16,535.7916509,226,3.52
222,"25 Mins to Midtown, 15 Mins to LES",Ann,Williamsburg,1,95.55497675,179,3.91
223,Big Sunny Room in Manhattan (M6),Lilia,Harlem,16,245.2573647,167,2.53
224,"Cozy, fun, and close to everything",Walton,Williamsburg,1,100.6313728,336,3.85
225,Queens Comfort,Lorraine,Jamaica,5,77.55619827,434,3.04
226,Sharp Upper East Side 2BR w/ Gym + W/D near the MET by Blueground,Blueground,Upper East Side,16,522.401663,304,4.94
227,Big Room close to LGA Airport. Cuarto Grande.,Jey,East Elmhurst,5,82.27770262,661,3.51
228,Great Access! Close to station/5line u can use!,Shogo,Woodside,5,82.9231698,639,3.21
229,Peaceful Oasis. 25 mins. Manhattan,Carlos,Briarwood,5,125.199803,353,2.98
230,"Spacious apartment close to Manhattan, WIFI",Gabriela,Astoria,5,168.6644054,625,3.43
231,One bedroom cutie in South Willamsburg,Alis,Williamsburg,1,205.7498482,370,2.61
232,2 Bedroom & garden-South Park Slope,Rosa,Sunset Park,1,196.3998339,201,4.09
233,"Classic UWS doorman 3 BR. River, elevator, dogs",Judith,Upper West Side,16,521.2745706,160,1.89
234,2 bedroom house 15 min from Jfk,Gulshan,Cypress Hills,1,191.7084546,276,2.27
235,Cozy Self Contained Private 1 Bedroom Apartment,Ayana,St. Albans,5,82.71900417,394,3.21
236,Modern WBurg Castle in w/ Park & Skyline Views,Jordan,Greenpoint,1,207.3410844,253,2.84
237,Private room in Brooklyn Loft,Paul,Williamsburg,1,94.13056414,395,2.78
238,"Bright and spacious, garden below!",Rachel,Upper West Side,1,268.178503,300,2.65
239,Bohemian 1-bedroom in Williamsburg,Rafe,Williamsburg,1,95.61324854,362,2.65
240,"Smart Studio in Trendy Tribeca, Indoor pool + Gym by Blueground",Blueground,Tribeca,1,284.8685627,334,4.16
241,Small room near Columbia Uni med,Mike,Washington Heights,16,243.0952295,196,4.28
242,Private Living Room - NOT Shared With Others,Maggy S,Harlem,16,188.1686713,620,3.28
243,Cozy Kips Bay Apartment,Dipti,Kips Bay,16,537.540718,424,2.18
244,1 Bedroom close to Prospect Park and Manhattan,Victor,Flatbush,1,191.9763163,347,3.86
245,Harlem Sanctuary,Danese,Harlem,1,262.9879633,348,4.68
246,"Private, Large & Sunny Top Floor Apt  w/W&D",Renée,Bedford-Stuyvesant,1,197.0307866,428,2.59
247,Ocean hill home away from,Levi,Bedford-Stuyvesant,1,88.75500066,256,3.37
248,$2000 / Huge 1br - Cobble Hill | 8/1 start,Saba,Cobble Hill,1,97.05930922,311,2.62
249,☕ ✈Fantastic Room ⚡⚡ ✈,Alex,East Harlem,1,129.8110332,153,2.88
250,Your own floor (private) in prime Williamsburg!!,Katherine,Williamsburg,1,277.9197974,542,2.88
251,Spacious Sunny 2BR/Prime Greenpoint,Alicja,Greenpoint,1,279.0010138,291,4.18
252,Times Square modern and contemporary studio,Андрей,Theater District,1,284.7001019,267,3
253,The spot,Emma,Prospect-Lefferts Gardens,16,513.6297332,338,3.45
254,Charming & sunny studio apartment,Michael,Harlem,1,263.1537658,366,3.03
255,"Cozy Railroad Apartment in Greenpoint, BK",Gabriela,Greenpoint,1,206.1053225,175,4.76
256,Twin Cabin with a Window One,The Bowery House,Nolita,16,264.8815656,231,2.25
257,"Private room in TRIBECA Loft, elevator into apt!",Daniel,Tribeca,1,146.1883871,182,4.15
258,The Emerald Suite  (A Gem In A Historic Mansion),Malika,Crown Heights,1,195.8714044,283,4.23
259,Entire Townhouse in Red Hook 2 unit,Amyt,Red Hook,1,199.9413776,183,3.26
260,BEST DEAL IN CHELSEA 1 bdrm NYC,Anton,Chelsea,1,287.6022804,275,3.01
261,Chic Private Bedroom in Upper West Side 107,Eyal,Upper West Side,1,132.8022634,602,3.19
262,Studio in the Best location in Manhattan,Michael,West Village,16,535.8847018,430,3.66
263,"Clean, Comfy Bright Small Bedroom",Josie,Sunnyside,5,168.0002932,497,2.87
264,Hilton timeshare west 57st  ,Richard,Midtown,2,144.4314897,520,2.07
265,Safe perfect location heart of east village,Matheus,East Village,16,535.978218,299,4.3
266,GARDEN APARTMENT IN CLINTON HILL,Heather,Clinton Hill,1,199.1898535,200,3.68
267,Oasis bedroom for solo travelers,Demi,Crown Heights,1,197.8587947,251,2.66
268,Sonder | Stock Exchange | Sleek 3BR + Sofa Bed,Sonder (NYC),Financial District,16,531.2293097,404,2.39
269,Sunny house,Cheolwoo,Elmhurst,5,163.2492766,227,2.31
270,1 BR close to Times Square - WOMEN ONLY,Willi,Hell's Kitchen,16,262.6907739,530,2.76
271,Huge Cobble Hill BR w private bath city views,Kat,Carroll Gardens,1,95.8499439,200,2.86
272,spacious 1 BR heart of astoria,Andrea,Astoria,5,167.6267042,262,2.8
273,Large 1 BR apt in the heart of Flatiron (NYC),Joe,Flatiron District,1,289.132726,220,2.66
274,Comfortable room near everything,Noah,Ditmars Steinway,5,196.2273061,275,2.3
275,Entire apt in the hearth of EAST VILLAGE!,Fabiola,East Village,1,286.3678219,163,3.37
276,"Sunny bedroom, next to subway and Central Park",Elisa,East Harlem,1,134.0656957,699,3.47
277,3 bedrooms 2 baths Brooklyn Home 15m to Manhattan!,Shirley,Bushwick,1,197.8587947,617,3.22
278,Gorgeous Super Large 2 Bedroom apartment,Bessi,Upper West Side,1,274.0735461,247,2.8
279,New Luxury Building,Anna,Hell's Kitchen,16,531.0869137,450,3.65
280,PrimChelsea~1BR~Sleeps4~hugeOutdoor,Host,Chelsea,16,536.4529016,342,4.54
281,NEW Park Avenue-Madison Avenue 3BED Condo Sleeps 6,Genee,Murray Hill,16,538.478218,208,4.39
282,Get Together/ Small party space,Shatese,Jamaica,5,154.7865189,290,3.23
283,Loft in Bushwick/East Williamsburg,Alex,Bushwick,1,198.2478634,577,2.07
284,"Williamsburg, BK large apt",Daniel,Williamsburg,1,203.9248143,317,2.52
285,"Beautiful, spacious apartment - with a cute cat!",Kappie,Downtown Brooklyn,1,205.6998075,202,2.75
286,Greenpoint top floor w/ sun & views,Blake,Greenpoint,1,101.0580555,270,3.56
287,Cozy Sublet in Brooklyn,Paul,Bedford-Stuyvesant,1,131.9281376,170,4.73
288,Modern Large Apartment in Midtown East,Andres,Midtown,16,534.0232417,233,2.81
289,Prime Park Slope on 14th Street,Mike,South Slope,1,196.6873978,458,2.13
290,Large Studio in the HEART OF MANHATTAN,Tim,Hell's Kitchen,16,534.7101021,192,3.28
291,Modern Lux APT Private Bath 15 min to Times Sq,K,Sunnyside,5,200.2573693,347,2.67
292,Spacious apt. in Brownstone,Evan,Park Slope,16,516.4854209,434,3.81
293,Cozy ✨LARGE BED✨ In the heart of NYC!,Jules,Hell's Kitchen,1,280.489109,289,4.14
294,"Beautiful, sunlit private room in Spanish Harlem",Michele,East Harlem,1,133.1164917,267,4.3
